lead_time,no_of_special_requests,avg_price_per_room,arrival_month,Unnamed: 0,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,booking_status
144,1,112.03,5,32912,22,4,3,2,0,1
60,0,75.0,3,29221,20,3,2,2,0,0
13,2,116.0,7,31172,20,4,1,0,0,1
16,1,184.0,9,7488,22,4,1,0,0,1
99,1,96.3,4,20222,13,4,2,0,0,0
14,0,107.0,12,21733,27,4,2,2,0,1
29,2,131.72,7,20087,16,4,3,2,0,1
5,1,60.0,9,30369,2,3,1,0,0,1
51,2,187.11,9,26858,16,4,2,2,0,1
161,1,97.75,7,1540,7,4,3,1,3,0
0,0,79.0,2,32856,15,4,0,1,3,1
49,1,170.1,5,4125,9,4,4,1,1,1
65,0,89.1,6,21417,21,4,3,0,3,0
205,0,90.0,5,20924,29,3,1,2,0,0
94,0,76.5,4,22659,16,4,2,2,3,0
37,0,105.0,10,4976,13,3,3,0,0,1
207,0,98.1,10,16539,4,4,1,0,3,0
3,1,65.0,3,18970,20,2,0,2,0,1
180,1,120.0,10,12990,10,3,2,1,0,0
83,1,101.15,9,2463,4,3,0,1,0,1
221,0,73.0,8,18989,12,3,1,0,1,1
73,0,67.83,11,24739,24,3,3,0,0,1
131,2,136.5,7,19860,10,4,2,2,0,1
304,0,89.0,11,11717,3,3,3,0,0,0
228,0,0.0,6,22246,4,4,0,0,0,0
109,1,77.03,4,23880,30,4,1,2,0,1
174,0,70.0,10,19667,10,3,1,1,0,0
27,0,108.0,9,5545,30,3,2,0,0,1
3,1,129.0,2,18372,8,4,0,1,1,1
17,2,109.45,9,10814,9,4,2,1,0,1
91,0,43.43,1,30460,1,3,5,2,0,1
92,1,63.75,8,2471,6,3,3,0,0,1
161,0,130.05,12,27444,26,4,3,1,1,1
32,1,126.26,6,30536,26,4,5,2,0,1
19,0,130.0,5,26164,2,4,2,1,0,1
3,1,75.0,1,25691,5,4,1,0,3,1
53,0,120.0,10,34338,14,3,1,0,0,1
102,0,101.5,10,3544,16,4,2,0,1,0
221,0,187.0,7,34683,2,4,2,2,0,0
164,0,100.0,10,3347,2,3,2,0,0,1
247,1,115.0,6,16552,6,3,1,1,1,0
0,1,111.0,6,1714,14,4,1,0,0,1
123,1,118.8,9,10261,5,4,3,1,3,0
62,0,89.24,5,35242,9,3,1,1,0,1
21,0,91.0,2,7456,13,4,1,1,0,0
109,4,131.8,7,30241,8,4,2,0,0,1
17,3,73.88,10,34104,1,4,2,0,0,1
386,1,115.0,10,10305,23,3,0,2,1,0
24,1,101.0,11,35802,8,4,0,2,0,1
2,2,100.1,8,16084,17,4,1,0,0,1
38,0,133.8,3,12082,24,4,3,0,0,0
273,0,95.0,5,2583,13,4,2,1,0,0
279,0,110.0,10,21025,12,3,3,0,0,0
75,0,105.0,10,9233,30,3,0,2,1,0
71,0,120.0,6,1729,14,3,3,0,0,1
23,0,89.0,4,6916,18,4,1,1,3,0
22,0,95.0,4,22570,18,4,1,1,0,1
75,0,105.0,10,3971,30,4,0,2,1,0
119,1,104.4,10,20986,27,4,3,0,0,0
86,1,107.69,7,2559,1,3,2,1,0,1
12,0,65.0,8,6180,5,2,3,0,0,1
11,2,141.0,8,25266,20,4,1,1,0,1
4,1,98.0,6,20476,7,2,1,0,0,1
83,1,107.46,4,35895,26,4,5,2,0,1
3,2,156.0,4,19011,1,4,2,0,0,1
50,1,52.0,1,2684,14,3,3,0,0,1
110,0,94.5,7,30301,25,3,1,2,1,0
257,0,101.5,7,33773,1,3,2,0,1,0
31,0,75.0,9,32255,16,3,2,1,0,0
20,1,89.0,6,4935,26,4,0,1,3,1
63,0,168.3,8,34959,9,4,3,0,0,1
3,0,139.13,9,27011,19,2,0,1,0,1
159,0,144.0,9,23656,19,3,2,1,0,0
106,1,84.58,7,10039,13,3,4,0,0,1
195,2,112.2,8,19452,17,4,5,2,0,0
150,1,90.0,6,33586,16,3,3,0,1,1
34,1,82.23,9,31742,25,4,1,2,3,1
95,1,72.25,11,32314,27,4,2,0,0,0
7,0,158.0,12,9509,30,4,2,0,0,1
27,0,108.0,9,33759,30,3,2,0,0,1
185,2,128.7,10,20468,20,4,2,0,0,0
152,1,114.43,12,18543,27,4,6,2,0,1
196,1,80.75,5,13531,12,3,3,1,0,1
38,0,81.0,6,17119,19,3,1,2,0,0
1,0,89.0,3,22045,29,4,1,0,3,0
317,0,120.0,9,21187,15,3,2,0,0,0
47,0,60.0,1,14770,23,3,1,2,0,1
1,2,81.0,8,3334,7,4,1,0,3,1
72,0,105.3,4,20752,12,4,3,0,0,0
148,0,100.8,6,22933,2,4,3,0,0,1
82,0,99.96,10,32366,9,3,2,2,0,1
27,0,108.0,9,7278,30,3,2,0,0,1
56,1,93.6,11,2171,23,4,3,0,0,0
221,0,73.0,8,6564,12,3,1,0,1,1
126,1,79.2,11,32532,4,4,1,0,3,0
164,0,114.3,7,22917,10,4,0,2,0,0
144,0,89.25,7,13814,15,4,4,2,3,0
121,1,88.4,12,32688,24,4,3,2,0,1
188,2,85.5,10,27817,27,4,3,0,3,0
152,1,107.0,4,11547,30,4,1,0,0,0
381,1,69.5,12,32600,23,4,2,1,0,0
51,1,123.3,8,7422,28,4,3,2,0,0
5,0,111.0,12,6239,29,4,1,0,0,1
27,0,166.0,6,14149,28,4,2,0,0,0
13,2,105.11,5,17134,23,4,2,1,3,1
3,1,86.0,2,16750,1,4,1,1,0,1
111,1,221.4,10,30081,6,4,1,0,0,0
0,1,65.0,3,32145,16,2,1,0,0,1
28,0,130.0,10,13160,29,3,1,0,0,1
137,0,105.3,5,10536,5,4,3,0,0,0
74,0,101.5,9,11532,18,3,2,0,1,1
3,0,62.37,12,33338,14,4,0,1,0,1
44,0,103.95,3,15998,17,4,2,0,0,1
72,1,96.3,6,29851,26,4,0,1,0,1
6,0,91.0,3,741,4,4,1,0,3,1
151,0,71.0,1,18572,19,3,2,0,0,1
116,0,61.0,2,31350,28,3,1,2,0,0
16,1,95.0,10,103,31,4,1,0,0,1
87,1,70.03,3,8650,24,4,3,1,0,1
11,1,89.0,1,14839,15,4,2,0,0,1
50,1,76.92,6,20395,22,4,1,0,0,1
186,1,96.3,7,10512,28,4,2,0,0,0
25,0,65.0,11,15628,22,3,3,2,0,1
16,2,144.67,4,6745,12,4,3,0,0,1
65,1,94.5,7,7558,23,4,1,1,3,1
44,1,259.2,8,1422,10,4,1,0,1,1
34,1,68.7,2,2579,25,4,3,0,3,0
40,0,85.0,3,24825,13,3,1,2,0,1
0,0,12.0,12,11798,29,3,3,1,0,1
52,1,135.9,8,18389,2,4,5,2,0,1
73,1,112.05,10,26291,31,4,1,1,0,0
166,0,110.0,11,10562,1,3,3,0,0,0
108,0,80.75,9,27807,27,3,3,0,0,1
0,0,89.0,5,23059,9,4,0,1,3,1
90,0,78.63,4,19074,21,3,3,0,0,1
7,1,140.0,8,291,22,4,1,1,0,0
165,2,142.2,7,22675,18,4,1,1,0,0
15,0,124.0,8,22269,2,4,2,0,3,1
25,0,88.0,11,2085,14,4,1,1,3,1
124,1,114.3,5,26825,6,4,2,0,0,1
29,2,154.93,9,17714,25,4,1,2,0,1
1,0,90.0,3,6453,8,4,1,0,3,1
47,0,65.0,11,34476,11,2,1,0,0,1
276,0,95.67,9,21001,22,3,3,0,0,1
111,0,120.0,10,22239,10,3,0,1,0,0
10,2,98.33,11,13190,28,4,2,1,0,1
159,0,114.3,8,31760,8,4,2,1,0,0
8,1,104.5,11,1765,6,4,2,2,0,1
103,0,94.5,7,16947,18,3,1,2,1,0
192,0,95.0,6,12492,24,3,2,0,0,1
33,1,91.48,4,32054,16,4,1,2,0,1
2,2,142.0,12,17445,1,4,2,0,1,1
29,0,122.55,9,4303,18,4,0,2,3,0
433,0,70.0,9,26545,8,3,3,0,0,0
58,1,99.88,4,8868,27,4,4,0,3,1
37,0,105.0,10,7976,13,3,3,0,0,1
13,0,75.0,11,11206,21,3,0,1,0,1
210,0,72.75,10,5878,8,3,3,1,0,1
15,0,58.0,12,20161,19,3,2,2,0,1
14,2,131.43,10,25108,13,4,5,2,0,1
19,0,80.0,10,24628,6,3,3,0,0,1
91,0,75.0,5,25160,11,3,4,0,0,1
53,2,103.7,11,5894,29,4,4,0,0,1
1,0,65.0,4,30613,13,2,1,0,0,1
0,0,0.0,7,11323,20,4,1,0,1,1
251,0,79.29,12,4104,31,4,5,2,0,0
269,0,102.51,10,20838,10,4,4,1,0,0
9,1,142.67,12,7001,30,4,3,0,0,1
47,2,140.53,8,25272,31,4,5,2,0,1
193,0,65.0,10,27448,15,3,3,0,0,0
102,0,80.0,10,23458,16,3,2,0,1,0
68,1,114.5,4,2797,25,4,0,1,0,1
42,1,112.59,9,25058,15,4,1,0,0,1
176,0,61.52,3,7430,20,4,4,2,0,0
2,0,66.88,5,28375,15,3,2,2,0,1
48,2,97.2,11,20113,4,4,2,0,0,1
17,1,141.0,6,6308,3,4,1,0,0,1
273,0,95.0,5,23206,13,3,2,1,0,0
2,1,164.0,8,30530,24,4,2,0,0,1
103,1,95.88,5,19949,5,4,3,1,0,1
2,0,55.74,2,21439,14,3,5,2,0,1
20,1,91.63,7,2549,19,4,2,0,0,1
36,0,71.0,1,33774,19,3,2,0,0,1
136,0,130.5,7,22237,6,4,1,0,0,1
180,1,129.7,8,21629,3,4,5,2,0,0
320,1,115.0,8,28106,18,3,2,0,1,0
1,1,135.0,12,2089,31,4,1,0,0,1
2,0,95.0,10,4739,13,3,1,0,0,1
2,0,169.0,9,4286,21,2,1,0,0,0
222,0,168.3,10,33841,29,4,1,0,0,0
35,0,87.0,3,20660,8,3,3,0,0,1
16,0,134.7,5,26993,31,4,4,0,0,1
49,1,126.9,5,30520,13,4,2,2,0,1
346,1,115.0,9,22652,13,3,2,0,1,0
57,0,124.2,9,4438,6,4,3,0,0,0
210,0,72.75,10,32475,8,3,3,1,0,1
184,1,96.3,7,35331,11,4,0,1,0,1
20,1,90.86,5,4702,29,4,2,2,0,1
32,0,165.15,4,1827,27,4,1,0,1,1
0,0,65.0,1,5453,18,2,1,1,0,1
10,1,86.72,11,8832,11,4,2,2,0,1
32,1,120.0,10,25897,24,4,1,1,0,1
156,0,103.5,8,21010,21,4,1,2,3,0
132,2,153.0,11,26640,25,4,2,0,0,1
31,0,71.0,2,12806,4,2,2,0,0,1
59,1,108.0,10,20356,10,4,0,1,3,0
18,1,97.33,1,32751,10,4,1,2,0,1
19,1,139.13,9,31763,23,4,2,0,0,1
20,1,99.0,1,12845,21,4,2,0,0,1
37,0,107.1,3,10182,31,4,4,2,3,0
66,0,137.7,7,5927,29,4,1,0,0,1
89,1,90.95,4,27803,10,4,3,2,0,1
176,1,80.75,7,4678,5,4,6,2,3,1
303,0,78.0,8,188,19,4,3,2,0,0
2,0,127.0,6,16631,28,4,1,0,3,1
29,1,211.0,12,18089,4,4,2,2,1,1
75,0,135.9,8,30645,14,4,0,2,0,0
57,1,90.67,6,16807,10,3,2,1,0,1
7,2,184.0,9,12143,13,4,1,0,0,1
14,0,112.0,2,29802,4,2,3,0,0,1
35,1,78.3,2,24659,13,4,4,2,0,1
10,0,67.0,8,16856,29,3,1,0,0,1
76,1,96.3,4,28017,12,4,2,0,0,1
119,0,85.61,6,1202,28,4,5,2,3,0
33,1,97.4,11,15418,13,4,2,2,0,1
42,0,97.63,3,32032,20,4,2,2,0,0
49,1,90.9,4,35285,19,4,1,0,0,1
111,1,93.75,5,22252,9,4,3,1,3,1
133,0,85.5,5,33161,17,3,5,1,0,1
22,0,140.0,5,11072,20,3,2,0,0,1
40,0,85.0,10,2258,24,3,2,1,0,1
192,0,95.0,6,24332,24,3,2,0,0,1
208,1,72.25,12,5648,1,4,3,0,0,0
35,0,63.0,3,9514,12,3,3,2,0,1
237,0,89.25,9,34871,14,4,2,1,0,0
192,0,95.0,6,18092,24,3,2,0,0,1
292,0,115.0,7,29517,21,3,2,0,1,0
20,0,101.2,9,26659,24,4,2,2,3,1
43,2,168.3,8,24156,5,4,2,2,0,1
151,0,72.25,8,3308,5,3,2,1,0,1
52,2,207.0,12,29316,31,4,2,0,0,1
1,2,101.86,11,8114,18,4,2,2,0,1
9,1,80.47,10,14476,30,4,0,2,3,1
98,1,106.2,11,34912,2,4,4,0,0,1
133,0,189.0,7,3978,23,4,1,0,1,0
258,0,110.0,10,29988,16,3,0,1,0,0
199,1,95.4,5,14467,2,4,3,1,3,0
1,1,100.0,11,10612,22,4,3,0,3,1
47,0,134.1,7,14487,5,4,1,0,0,0
154,0,75.0,4,3863,19,3,3,0,0,1
29,2,81.55,3,14603,4,4,2,0,3,1
32,0,85.0,7,17074,18,3,1,1,0,1
74,1,117.73,12,9811,29,4,2,0,0,1
172,1,88.7,5,6740,22,4,1,2,0,1
0,0,110.0,9,12232,19,2,2,1,0,1
152,0,56.52,10,11693,29,3,3,1,0,1
8,1,89.0,10,13542,20,2,1,0,0,1
34,1,129.6,3,22413,15,4,5,0,1,1
147,0,99.0,7,4840,11,4,1,1,3,1
56,0,120.0,6,27224,8,3,1,0,0,1
247,1,115.0,6,20177,6,3,1,1,1,0
66,1,79.0,12,12659,24,4,1,2,0,1
31,0,144.9,3,5164,24,4,2,0,0,0
32,1,92.83,5,2221,8,4,2,2,0,1
64,0,140.0,5,6538,17,2,2,0,0,0
29,0,85.0,12,35289,2,2,2,0,0,1
322,0,80.0,5,8999,19,3,3,1,0,0
86,1,93.6,12,35261,15,4,2,0,0,1
2,0,65.0,10,12573,18,2,0,2,0,1
155,1,85.0,11,6534,25,4,2,2,0,0
40,1,118.0,12,14117,31,3,3,0,0,1
40,0,140.4,5,27568,18,4,2,0,0,0
99,2,186.3,7,18611,3,4,1,2,0,1
23,0,94.0,10,2687,7,3,5,2,0,1
118,0,110.0,6,8704,6,3,3,1,0,1
36,1,68.07,12,18499,1,4,3,2,0,1
3,1,121.0,8,2178,7,4,0,1,0,1
123,2,135.15,6,25439,17,4,2,2,0,0
29,2,178.0,7,36015,28,4,1,0,0,1
130,0,61.25,2,19373,20,4,1,0,0,0
48,0,130.0,9,35464,14,3,2,0,0,1
43,0,118.0,12,15049,31,3,3,0,0,1
251,1,96.3,9,31827,3,4,1,0,0,0
34,1,135.45,4,1608,16,4,2,2,0,1
1,1,111.0,7,28320,20,4,1,0,0,1
88,1,102.3,6,23261,26,4,1,2,0,1
256,1,115.0,6,30409,15,3,2,0,1,0
308,0,52.0,11,22245,25,3,2,0,0,0
17,1,91.0,2,21897,14,4,1,2,0,0
132,1,113.05,5,8903,13,4,2,2,0,1
204,3,76.5,8,23913,12,4,4,0,0,1
6,1,97.02,10,34228,18,4,2,2,0,1
199,1,106.2,4,5589,14,4,3,1,0,0
26,0,120.0,6,30332,8,3,1,0,0,1
28,0,131.6,4,9986,29,4,4,2,0,0
68,0,73.9,3,6632,3,4,2,0,0,1
157,0,92.65,12,28025,8,3,3,0,0,1
35,0,118.8,4,7747,22,4,2,2,0,0
1,0,67.0,5,25529,18,2,1,0,0,1
28,0,194.8,8,4628,13,3,3,2,1,1
44,1,207.9,9,22569,15,4,3,0,0,1
106,0,108.3,5,34820,3,4,3,0,0,0
15,1,100.0,3,9124,12,4,2,2,0,1
93,0,115.0,10,7106,15,4,1,2,0,0
34,1,108.9,5,26362,22,4,0,2,0,1
1,0,130.33,9,30558,3,4,3,0,0,1
15,1,84.0,9,31911,8,3,3,0,0,1
150,1,91.48,9,22091,25,4,0,2,0,1
63,1,110.7,6,34988,26,4,3,2,0,1
1,0,98.1,9,31240,30,3,2,0,0,1
54,0,144.0,8,10610,28,4,3,2,1,1
4,2,151.0,7,3101,11,4,0,1,0,1
3,0,65.0,9,14768,19,2,0,1,0,1
13,3,51.05,12,28765,13,4,4,0,0,1
11,0,86.0,12,2762,19,4,2,1,0,1
185,2,81.77,5,25136,6,4,2,0,0,0
87,2,96.3,4,16051,26,4,3,0,0,1
196,1,80.75,5,21189,12,3,3,1,0,1
6,0,104.0,4,17462,16,4,1,1,3,0
68,2,133.2,4,124,24,4,0,2,0,1
45,2,94.5,10,35749,19,4,5,1,0,1
103,0,115.0,4,12304,19,3,2,0,0,0
173,2,94.5,7,26010,8,4,1,0,3,1
0,0,3.0,2,13958,29,1,1,1,0,1
27,2,111.33,3,18903,10,4,3,0,0,1
13,0,86.0,2,8139,3,2,4,0,0,1
70,0,100.0,6,16826,3,3,2,0,0,1
11,0,80.41,12,9871,25,4,2,1,0,1
4,0,93.8,12,34106,2,4,2,2,0,1
0,0,75.0,1,8096,6,4,1,0,3,1
21,0,124.8,5,11852,19,3,1,0,0,1
71,1,93.08,6,10843,17,3,2,2,0,1
323,1,112.0,5,25037,17,3,4,0,1,0
4,1,137.0,12,1705,30,4,2,0,0,1
180,1,108.9,10,9434,1,4,1,2,0,0
1,1,106.0,2,35739,5,4,4,2,0,1
296,1,117.0,9,26099,21,3,4,0,1,0
1,0,60.0,2,16134,28,3,1,2,0,0
15,0,216.86,5,34437,29,4,5,2,1,0
61,1,139.34,7,5678,18,4,8,3,0,0
349,0,80.0,10,1470,4,4,5,1,0,0
247,1,115.0,6,34247,6,3,1,1,1,0
87,2,126.0,12,19486,16,4,2,0,0,1
48,1,94.5,10,24444,19,4,3,1,0,1
35,0,79.2,12,15817,7,4,7,2,3,0
12,1,180.0,10,9212,21,4,2,0,0,1
0,1,121.5,6,1642,21,4,1,0,0,1
111,1,73.74,4,33878,1,4,4,2,0,1
24,0,65.0,11,6052,1,2,0,1,0,1
6,1,124.0,3,3494,17,4,2,0,0,1
54,0,81.0,10,4320,16,3,2,2,0,1
64,2,107.1,9,14752,1,4,3,1,0,1
33,1,63.75,10,36012,31,3,2,2,0,1
162,0,115.0,10,23156,14,3,2,2,0,0
1,0,195.0,9,27086,26,4,0,1,3,1
6,0,66.3,12,6460,15,4,3,1,3,1
58,0,125.1,9,23966,8,4,1,0,3,0
150,0,125.8,6,22648,28,4,8,2,0,0
164,1,88.5,7,3426,19,4,3,0,3,1
70,2,107.95,4,17410,16,4,2,2,0,1
123,1,143.1,9,32106,20,4,5,1,0,0
241,1,106.2,6,24506,20,4,6,3,0,0
0,0,42.0,1,13405,30,1,1,0,0,1
10,2,77.21,10,24510,31,4,2,2,0,1
12,1,0.0,8,2088,16,4,0,0,0,1
0,0,66.0,1,28518,19,2,1,0,0,1
1,1,59.03,12,13664,23,4,1,0,3,1
39,0,109.0,8,36011,14,3,2,0,1,1
263,0,67.0,9,1873,21,3,0,1,0,1
146,1,106.2,6,8485,3,4,2,0,0,1
186,0,80.0,4,6120,22,3,2,1,0,1
53,0,192.0,4,8398,28,4,3,0,0,1
33,1,89.1,8,7459,30,4,2,0,3,0
61,0,99.9,6,2485,26,4,0,1,0,0
2,0,0.0,12,18947,9,1,1,0,0,1
2,2,92.54,11,299,16,4,6,2,0,1
41,2,101.52,5,17971,10,3,4,0,0,1
102,0,126.0,12,9904,6,4,1,0,0,1
85,1,85.0,10,4293,6,3,3,1,0,1
21,0,131.0,3,24015,4,4,1,0,1,1
55,0,67.0,3,20983,31,2,2,0,0,1
2,3,0.0,1,4509,27,1,1,0,0,1
68,0,60.0,12,31622,2,3,4,0,0,1
3,0,159.0,5,6462,19,2,1,0,0,1
178,0,88.5,7,3668,22,4,2,1,3,0
239,1,128.7,10,21385,28,4,2,0,0,0
95,0,140.4,5,33820,19,4,3,0,0,1
91,0,60.5,12,6947,30,3,4,0,3,1
58,2,159.3,6,5985,10,4,2,1,0,1
141,0,132.0,6,8865,3,3,2,1,0,1
217,0,86.63,8,10700,3,4,3,0,0,0
105,0,75.0,4,6517,6,4,1,0,0,0
0,0,80.75,6,14112,13,3,2,1,0,1
6,2,144.57,6,20742,10,4,5,2,0,1
117,0,72.25,8,14405,24,3,4,1,0,0
134,0,65.0,12,14194,4,3,2,2,0,1
0,0,82.88,12,3482,19,4,4,1,0,1
8,1,111.35,5,6755,31,4,2,0,0,1
19,0,120.0,5,17603,2,4,2,1,0,1
153,1,103.5,7,8696,29,4,1,0,3,0
4,2,97.1,2,35201,9,4,3,0,0,1
1,0,87.82,7,20761,11,4,0,1,3,1
6,2,160.0,10,752,20,4,3,0,0,1
36,1,116.1,6,15507,16,4,1,0,3,1
60,1,107.78,4,7102,2,4,3,2,0,1
1,0,110.0,10,9926,11,0,2,0,0,1
9,1,131.33,4,4788,8,4,2,1,0,1
11,1,72.07,2,34044,14,4,2,2,0,1
64,0,130.0,5,9805,17,2,2,0,0,1
69,1,76.5,3,7286,31,4,2,0,0,1
37,1,126.0,10,612,2,4,1,2,0,1
292,0,115.0,7,9339,21,3,2,0,1,0
12,1,117.04,10,34528,1,4,2,0,3,1
0,1,76.5,8,14646,12,4,4,0,0,1
206,1,102.85,10,20322,6,4,5,2,0,0
17,2,104.0,11,7098,23,4,3,0,0,1
159,1,82.44,8,1474,2,3,3,0,0,1
286,0,90.0,10,29128,16,3,0,1,0,0
46,1,102.0,9,20891,5,4,2,1,0,1
4,1,75.0,11,34141,13,2,0,2,0,1
64,1,112.48,4,27888,23,4,4,2,0,1
100,0,108.0,10,3995,16,4,1,0,1,0
4,1,91.0,3,10042,2,4,1,0,3,1
10,0,153.0,8,17986,20,4,2,0,0,1
2,0,93.0,2,3552,26,4,1,0,0,1
144,1,96.3,6,17775,27,4,2,1,0,1
164,0,100.0,10,26805,2,3,2,0,0,1
8,0,81.0,2,18206,19,2,1,0,0,1
127,2,80.1,10,19107,30,4,0,1,3,1
15,0,79.0,2,21805,12,4,2,0,3,0
352,0,73.74,12,3939,29,4,3,1,0,0
74,0,87.0,9,26388,18,3,2,0,1,1
43,1,88.46,11,26075,11,4,2,1,0,1
28,3,105.9,11,17990,28,4,5,1,0,1
81,2,125.1,9,20846,3,4,1,2,3,1
62,1,115.04,9,19705,27,4,2,0,0,1
113,0,85.0,6,7138,30,4,3,1,0,0
81,0,60.0,2,9406,19,3,2,1,0,1
121,1,119.85,5,29501,31,4,5,2,0,1
97,0,61.0,12,5879,30,3,4,0,0,1
29,1,94.0,11,3711,18,4,1,0,0,1
56,0,75.0,11,21572,14,3,2,1,0,1
24,0,159.0,3,7668,24,4,1,0,0,0
5,0,80.0,2,13153,12,4,1,0,3,1
3,1,67.0,9,12248,19,2,1,1,0,1
52,1,108.0,10,19103,2,4,0,2,3,0
13,2,231.15,8,10231,10,4,3,0,0,1
31,0,72.31,2,17797,21,4,2,2,0,1
5,2,221.0,5,5952,19,4,1,0,0,1
124,0,74.8,12,3284,4,4,4,2,3,0
109,1,176.25,8,35845,4,4,3,0,1,1
320,0,90.0,8,3884,18,3,2,0,1,1
132,0,96.3,6,31984,30,4,3,0,0,0
133,2,90.0,11,3658,2,4,4,0,0,0
12,1,95.0,9,28843,14,2,2,0,3,1
176,0,131.26,8,14750,14,4,5,2,0,0
50,0,85.5,4,27062,2,4,1,0,0,1
19,2,105.0,9,30406,14,4,2,1,0,1
156,0,108.9,8,22851,11,4,1,0,0,0
0,0,88.0,8,32819,11,2,1,0,0,1
166,0,110.0,11,5407,1,4,3,0,0,0
96,0,94.5,7,22817,11,3,1,2,1,1
45,2,125.1,6,16067,1,4,1,0,0,1
39,1,107.1,7,22542,1,4,1,0,3,1
0,0,140.0,10,15885,15,4,1,0,3,1
56,0,125.1,9,17080,11,4,1,2,3,0
14,0,0.0,5,10285,18,4,4,0,0,1
0,0,115.0,8,18121,10,4,0,1,3,1
6,0,79.0,2,2991,26,4,2,0,3,0
67,1,63.75,3,21070,10,4,3,2,3,1
17,0,81.0,1,12179,23,4,1,2,0,1
26,0,133.8,4,18823,18,3,4,1,1,1
148,0,67.0,12,12724,30,3,4,1,0,1
192,0,68.23,10,10250,31,3,2,1,0,1
134,0,65.0,12,20062,4,3,2,2,0,1
13,1,87.78,9,34866,20,4,0,2,0,1
0,0,0.0,12,7647,10,1,1,0,0,1
111,1,129.65,6,31722,17,4,2,2,0,1
23,2,109.0,3,5260,18,4,1,0,0,1
9,3,169.0,9,12250,8,4,1,0,0,1
35,0,60.0,11,1947,2,3,3,1,0,1
0,0,95.0,10,10290,17,2,1,1,0,1
95,1,137.1,6,10018,16,4,3,0,0,1
8,0,111.35,5,11121,25,4,1,0,0,0
83,0,105.3,3,11107,25,4,2,1,0,0
67,2,89.1,10,1612,28,4,1,0,3,1
0,2,114.0,9,2293,30,4,1,0,3,1
0,1,99.0,3,17244,31,4,3,0,3,1
79,0,72.25,3,27138,28,4,4,1,3,0
0,0,62.73,5,16507,16,4,0,1,3,1
141,1,137.7,7,20904,16,4,1,1,0,1
75,1,76.5,7,32349,6,4,1,1,0,0
25,0,167.0,4,1026,6,4,3,0,0,0
35,2,77.25,12,12640,26,4,1,0,0,1
28,0,130.0,10,20048,29,3,1,0,0,1
47,1,99.4,2,10593,29,4,3,1,0,1
86,0,120.0,9,12613,24,3,2,0,1,1
349,0,90.0,10,32159,4,3,5,1,0,0
31,1,79.48,11,35262,12,4,2,2,3,1
0,1,109.0,8,34470,1,4,0,1,3,0
28,1,130.66,7,7161,2,4,3,2,3,1
115,0,76.0,2,27156,27,3,2,2,0,1
163,0,100.0,6,23191,5,3,2,2,0,0
23,1,115.0,4,35,27,4,1,0,3,1
54,0,90.95,6,1730,20,3,2,1,0,1
1,1,115.0,9,3180,9,4,2,0,3,1
130,0,159.3,6,13725,9,4,2,0,0,0
73,3,89.25,10,3481,11,4,5,2,0,1
68,1,116.1,6,1471,19,4,0,1,3,1
236,0,97.6,10,33615,17,3,3,1,0,0
76,0,207.9,8,31093,13,4,1,0,0,0
90,0,81.62,4,12066,21,3,3,0,0,1
7,1,231.78,10,7544,13,4,2,0,0,1
302,0,100.0,9,30476,16,3,2,1,0,0
30,2,153.0,9,24349,1,4,2,0,1,1
32,0,73.0,11,9614,20,3,2,0,0,1
83,1,75.0,5,2333,1,3,2,2,0,1
98,0,89.75,5,9189,30,3,1,1,0,1
29,0,130.8,6,18573,18,4,2,2,0,0
32,1,135.9,9,9576,9,4,2,0,0,1
4,1,157.0,8,3152,23,4,2,0,0,1
221,1,90.95,8,12148,14,4,5,4,0,1
6,0,152.0,4,15878,16,4,1,1,0,0
46,1,79.2,12,21234,16,4,2,1,3,1
69,0,106.0,9,23036,22,3,2,0,1,1
121,1,79.2,12,35058,15,4,2,0,3,0
208,0,75.44,12,14778,29,4,4,0,0,0
52,1,127.37,11,5731,9,4,3,0,3,0
2,0,91.67,12,18400,5,2,6,3,0,1
0,0,106.65,9,31049,26,4,0,1,3,1
49,0,71.0,12,21770,30,3,4,0,0,1
59,0,75.0,11,5461,19,3,1,1,0,1
12,0,130.0,10,28255,20,2,2,0,0,1
8,0,65.0,9,33358,15,2,1,0,0,1
81,1,116.1,5,16777,3,4,2,0,3,0
282,0,77.0,11,9844,12,3,1,2,0,1
1,0,79.0,11,23859,14,2,1,0,0,1
5,0,110.0,5,31157,24,2,2,0,0,1
6,1,65.0,12,18798,26,2,0,1,0,1
114,1,75.0,6,3940,1,3,3,0,0,1
272,0,90.1,7,7790,28,4,3,2,0,0
32,0,147.9,12,382,2,4,2,2,0,0
44,0,75.0,2,3169,17,3,3,0,0,1
188,0,130.0,6,27717,15,3,2,0,0,0
170,2,96.9,9,10930,12,3,1,0,1,1
128,0,130.5,7,27421,8,4,2,0,0,0
75,0,80.75,4,19640,25,3,4,1,0,1
258,0,90.1,10,29244,2,4,5,2,3,0
220,2,73.95,11,7748,29,4,5,2,0,1
4,0,0.0,10,20834,4,4,0,1,0,1
158,1,123.25,5,7406,25,4,4,0,0,0
2,0,74.0,12,12338,2,2,1,0,0,1
286,0,90.0,10,25697,16,3,0,1,0,0
29,0,85.0,12,5825,2,2,2,0,0,1
200,3,82.92,10,24929,31,4,2,1,0,1
34,1,168.3,8,8892,16,4,7,2,0,1
